retailer,retailer language code
11st-APP-KR,ko
11st-Korea-KR,ko
11st-KR,en
7eleven-TH,th
7NOW-US,en
99-Cents-Only-US,en
AB-GR,el
ABT-US,en
Acme-US,en
AdvanceAuto-US,en
AeonMall-VN,vi
Agrocampo-CO,es
Ahorramas-ES,es
Albert-Heijn,nl
Albert-Heijn-BE,nl
Albertsons-US,en
AlbertsonsMarket-US,en
Alcampo-ES,es
Aldi-UK,en
Aldi-US,en
AlfaGift-APP-ID,id
Alimerka-ES,es
Allegro-PL,pl
Alza-CZ,cs
Amazon-AE,ar
Amazon-APP-SA,en
Amazon-APP-US,en
Amazon-AU,en
Amazon-BR,pt
Amazon-CA,en
Amazon-DE,de
Amazon-ES,es
Amazon-FR,fr
Amazon-FR-CA,fr
Amazon-Fresh,en
Amazon-Fresh-DE,de
Amazon-Fresh-Delivery-US,en
Amazon-Fresh-Dia-ES,es
Amazon-Fresh-ES,es
Amazon-Fresh-IN,en
Amazon-Fresh-SG,en
Amazon-Fresh-US,en
Amazon-IN,en
Amazon-Italy,it
Amazon-JP,ja
Amazon-Morrisons-UK,en
Amazon-MX,es
Amazon-NL,nl
Amazon-Pantry-US,en
Amazon-Pet-Supplies,en
Amazon-PL,pl
Amazon-SA,ar
Amazon-SG,en
Amazon-TR,tr
Amazon-UK,en
Amazon-US,en
Amazon-WholeFoods-US,en
Amazon-ZA,en
AmigosUnited-US,en
Andronicos-US,en
Animates-NZ,en
Animed-Direct-UK,en
AO-UK,en
Apetete-PL,pl
Apotek-NO,no
Apotera-NO,no
Apple-US,en
ApplianceCity-UK,en
AppliancesDirect-UK,en
Arbuz-KZ,kk
Arcaplanet-IT,it
Argos,en
Argos-IE,en
ArkenZoo-SE,sv
ArlasKundwebb-SE,se
ARN-UK,en
ASDA,en
Askul-JP,ja
Asos-UK,en
Astro-APP-ID,id
Atida-FR,fr
ATT-US,en
Auchan,fr
Auchan-PL,pl
Auchan-PT,pt
Auchan-RO,ro
Auchan-RU,ru
AzbukaVkusa-RU,ru
Baby-List-US,en
Bachhoaxanh-VN,vi
BakersPlus-US,en
Balducci-US,en
Banabi-APP-TR,tr
BandQ,en
Barbora-PL,pl
BB-Foodservice,en
Benesse-JP,ja
Best-One-UK,en
BestBuy-CA,en
BestBuy-US,en
Bestway,en
Bidfood-NL,nl
Bidfood-UK,en
Big-C-TH,th
Big-Lots-US,en
Bigbasket-APP-IN,en
Bigbasket-IN,en
BigW-AU,en
Bilka-DK,da
BilkaToGo-DK,da
Billa-AT,de
Bitiba-DE,de
BJs-US,en
Blibli-APP-ID,id
BM-Supermercados-ES,es
BMStores-UK,en
Bodystore-NO,no
Bol-NL,nl
Bolt-APP-PL,pl
Bolt-APP-RO,ro
Bon-Preu-ES,es
Booker,en
Booker-Leicester-UK,en
BookerLondis-UK,en
Boots,en
Brakes-UK,en
Braunhousehold,en
Brekz-NL,nl
Bringmeister-APP-DE,de
Bringmeister-DE,de
Bringo-Carrefour-RO,ro
Brookshires-US,en
Budget-Pet-APP-AU,en
Budget-Pet-AU,en
BWS-AU,en
Canadian-Tire-CA,en
Candy-Store-US,en
Candy-Warehouse-US,en
Cannatas-US,en
Caprabo-ES,es
CarParts-US,en
Carrefour-AE,ar
Carrefour-APP-AE,ar
Carrefour-APP-KE,en
Carrefour-AR,es
Carrefour-AR-SA,ar
Carrefour-EN-SA,en
Carrefour-ES,es
Carrefour-EU,nl
Carrefour-FR,fr
Carrefour-FR-BE,nl
Carrefour-IT,it
Carrefour-KE,en
Carrefour-PL,pl
Carrefour-Supermarket-ES,es
Carrefour-TR,tr
Carrs-US,en
Caseys-US,en
Casino-FR,fr
Castell-Howells-UK,en
Catch-AU,en
Catycan-AR,es
Cdiscount-FR,fr
Central-Market-US,en
Centralvet-CL,es
Chatters-CA,en
Checkers-Online-ZA,en
Chedraui-MX,es
Cheetay-APP-PK,en
Chewy-CA,en
Chewy-US,en
Chronodrive-FR,fr
CityGross-SE,sv
CityMarket-US,en
Club-De-Perrosy-Gatos-CL,es
Cobasi-BR,pt
CocoonCenter-UK,en
Coles-AU,en
CollectAndGo-Colruyt-BE,nl
CollectAndGo-Colruyt-FR-BE,fr
Colruyt-BE,nl
Colruyt-FR-BE,fr
Condis-ES,es
Conns-US,en
Consum-ES,es
Continente-PT,pt
Coolshop-DK,da
Coop-CH,en
Coop-NL,nl
Coop-SE,sv
Coop-UK,en
Cornershop-Chedraui-MX,es
Cornershop-Jumbo-APP-CL,es
Cornershop-Jumbo-CL,es
Cornershop-Lider-CL,es
Cosmodata-GR,el
Costco,en
Costco-AU,en
Costco-Business-US,en
Costco-EN-CA,en
Costco-FR-CA,fr
Costco-US,en
Countdown-APP-NZ,en
Countdown-NZ,en
Coupang-APP-KR,kr
Coupang-KR,ko
Creed-Foodservice-UK,en
Cub-Foods-US,en
CuidaMiMascota-MX,es
Currys,en
Currys-IE,en
CVS-US,en
DanMurphys-AU,en
Danube-APP-SA,en
Danube-AR-SA,ar
Danube-EN-SA,en
Daraz-PK,en
Deebee-UK,en
DekaMarkt-NL,nl
Delhaize-BE,nl
Delhaize-FR-BE,fr
Deliveroo-Coop-APP-UK,en
Deliveroo-Sainsburys-APP-UK,en
Dell-US,en
Delonghi,en
DetskyMir-RU,ru
Dia-ES,es
DiaMinipreco-PT,pt
Dillons-US,en
DM,de
Dmart-Ready-IN,en
Dogman-SE,sv
Dollar-General-US,en
Dollar-Tree-US,en
Doordash-7-11-US,en
Doordash-Alberstons-US,en
Doordash-Aldi-US,en
Doordash-Coles-AU,en
Doordash-CVS-US,en
DoorDash-Dashmart-US,en
Doordash-Dollar-General-US,en
Doordash-Loblaws-CA,en
Doordash-Meijer-US,en
Doordash-Safeway-Grocery-US,en
Doordash-Safeway-US,en
Doordash-Target-US,en
Doordash-Walgreens-US,en
Doordash-Wawa-US,en
Drakes-AU,en
Drizly-MarketviewLiquors-US,en
DunnesStoresGrocery-UK,en
E-Fast-CR,es
Ebay-UK,en
Edeka-DE,de
Edeka24-DE,de
EdekaNord-DE,de
EDostavkya-BY,be
EFresh-GR,en
El-Palaciode-Hierro-MX,es
Elcorteingles-ES,es
ElcorteIngles-PT,pt
Elcorteingles-Store-ES,es
ELeclerc-FR,fr
Electroline-CY,el
Electronet-GR,el
Emag-APP-RO,ro
Emag-RO,ro
Eroski-ES,es
EroskiSupermercado-ES,es
Escentual-UK,en
Esselunga-IT,it
Etos-NL,nl
EuroSupplies-GR,en
Evinemama-TR,tr
Exito-APP-CO,es
Exito-CO,es
ExtraFoods-CA,en
FairPrice-SG,en
Family-Dollar-US,en
Farmasiet-NO,no
Feelunique-UK,en
Fera-PL,pl
Fiksu-Ruoka-FI,fi
Filshill-UK,en
FineWineANDGoodSpirits-US,en
FirstVet-SE,sv
Flaschenpost-DE,de
Flink-APP-NL,nl
Flink-DE,de
Flink-FR,fr
Flink-NL,de
Flip-KZ,ru
Flipkart-IN,en
Flipkart-Supermart-APP-IN,en
Food4Less-US,en
Foodlion-US,en
Foodora-Market-FI,fi
Foodora-Market-SE,sv
Fred-Meyer-US,en
Fresh-Choice-NZ,en
Fresh-Market-US,en
Fresh-Thyme-US,en
FreshDirect-US,en
Freshful-RO,ro
Fressnapf-DE,de
Frisco-APP-PL,pl
Frisco-PL,pl
FrysFood-US,en
Gamestop-US,en
Garfield-BY,be
Gerbes-US,en
Germanos-GR,el
Getir-APP-DE,de
Getir-APP-ES,es
Getir-APP-FR,fr
Getir-APP-NL,nl
Getir-APP-TR,tr
Getir-APP-UK,en
Getir-APP-US,en
GetSetPet-UK,en
Giant-Eagle-US,en
Giant-US,en
GiantStores-US,en
Glencrest-UK,en
GlobalPetFoods-CA,en
Glovo-Auchan-APP-PL,pl
Glovo-Auchan-PL,pl
Glovo-Carrefour-APP-ES,es
Glovo-Carrefour-APP-MA,fr
Glovo-Express-APP-MA,fr
Glovo-Express-APP-RO,ro
Glovo-Express-KE,en
Glovo-Express-RO,ro
